,0,1,2
0,LSST,0.47364152473641524,0.5028386050283861
1,EigenWorms,0.6335877862595419,0.5572519083969466
2,FingerMovements,0.59,0.47
3,UWaveGestureLibrary,0.50625,0.528125
4,Heartbeat,0.7463414634146341,0.7219512195121951
5,Cricket,0.75,0.75
6,Handwriting,0.04588235294117647,0.07882352941176471
7,ArticularyWordRecognition,0.5033333333333333,0.5
8,SelfRegulationSCP2,0.5611111111111111,0.5666666666666667
9,NATOPS,0.6611111111111111,0.6555555555555556
10,PhonemeSpectra,0.25052192066805845,0.2657321801371906
11,PenDigits,0.9719839908519153,0.9734133790737565
12,RacketSports,0.6842105263157895,0.631578947368421
13,SelfRegulationSCP1,0.8771331058020477,0.7406143344709898
14,AtrialFibrillation,0.3333333333333333,0.26666666666666666
15,Epilepsy,1.0,0.9927536231884058
16,MotorImagery,0.66,0.63
17,BasicMotions,0.65,0.625
18,Libras,0.6277777777777778,0.6277777777777778
19,ERing,0.7518518518518519,0.7444444444444445
20,PEMS-SF,0.6936416184971098,0.5433526011560693
21,EthanolConcentration,0.29277566539923955,0.2889733840304182
22,FaceDetection,0.5510783200908059,0.5527809307604994
23,HandMovementDirection,0.40540540540540543,0.28378378378378377
24,StandWalkJump,0.13333333333333333,0.3333333333333333
