,0,1,2
0,SelfRegulationSCP2,0.5666666666666667,0.5444444444444444
1,Heartbeat,0.7707317073170732,0.751219512195122
2,Epilepsy,1.0,0.9855072463768116
3,UWaveGestureLibrary,0.840625,0.871875
4,Libras,0.9833333333333333,0.9666666666666667
5,StandWalkJump,0.26666666666666666,0.4
6,DuckDuckGeese,0.6,0.54
7,AtrialFibrillation,0.4,0.3333333333333333
8,LSST,0.5523114355231143,0.5778588807785888
9,PEMS-SF,0.7109826589595376,0.6878612716763006
10,MotorImagery,0.52,0.55
11,Handwriting,0.012941176470588235,0.052941176470588235
12,SelfRegulationSCP1,0.9249146757679181,0.9146757679180887
13,ArticularyWordRecognition,0.89,0.9166666666666666
14,BasicMotions,0.95,0.825
15,RacketSports,0.8092105263157895,0.8355263157894737
16,PenDigits,0.9834190966266438,0.9825614636935391
17,HandMovementDirection,0.33783783783783783,0.32432432432432434
18,FingerMovements,0.58,0.59
19,EthanolConcentration,0.2965779467680608,0.2509505703422053
20,Cricket,0.9861111111111112,0.9722222222222222
21,PhonemeSpectra,0.24634655532359082,0.2564867283030122
22,NATOPS,0.9722222222222222,0.95
23,ERing,0.8074074074074075,0.662962962962963
24,FaceDetection,0.5590238365493757,0.5425652667423383
