,0,1,2
0,LSST,0.45012165450121655,0.43390105433901055
1,EigenWorms,0.5267175572519084,0.22137404580152673
2,FingerMovements,0.61,0.48
3,UWaveGestureLibrary,0.60625,0.6375
4,Heartbeat,0.7560975609756098,0.7121951219512195
5,Cricket,0.9861111111111112,0.9861111111111112
6,Handwriting,0.02588235294117647,0.08705882352941176
7,ArticularyWordRecognition,0.92,0.9233333333333333
8,SelfRegulationSCP2,0.5444444444444444,0.55
9,NATOPS,0.8333333333333334,0.8388888888888889
10,PhonemeSpectra,0.13510289293170294,0.12048911422606622
11,PenDigits,0.8467695826186392,0.8493424814179531
12,RacketSports,0.7302631578947368,0.756578947368421
13,SelfRegulationSCP1,0.8873720136518771,0.8976109215017065
14,AtrialFibrillation,0.5333333333333333,0.4
15,Epilepsy,0.9782608695652174,0.9565217391304348
16,MotorImagery,0.46,0.52
17,BasicMotions,0.625,0.525
18,Libras,0.8111111111111111,0.7888888888888889
19,ERing,0.06666666666666667,0.0962962962962963
20,PEMS-SF,0.7341040462427746,0.7514450867052023
21,EthanolConcentration,0.2623574144486692,0.30038022813688214
22,FaceDetection,0.5283768444948922,0.5255391600454029
23,HandMovementDirection,0.3783783783783784,0.3108108108108108
24,StandWalkJump,0.3333333333333333,0.4
